accountId,userId,firstName,lastName,email,code,locale,referable
janedoe101,janedoe101,Jane,Doe,janedoe@gmail.com,,,FALSE
ask_me,ask_me,Ask,Me,askme@yahoo.com,,,FALSE
anne_mariedoe,anne_mariedoe,Anne-Marie,Doe,bairstow@pailtonroad.com,,,FALSE
edj780,edj780,Ernesto,Doe Joe,ernestodoejoe@gmail.com,,,FALSE
Blackbird,Blackbird,Kea'no,Bond,keano.bond@gmail.com,,,FALSE
dyeliw@aol.com,dyeliw@aol.com,Donald. J,Duck,dyeliw@aol.com,,,FALSE
aaron,aaron,Aaron,Aånders,aaron@example.com,,,FALSE
aaron,aaron,Aaron,Aånders,aaron@example.com,,,FALSE
aaron,aaron,Aaron,Aånders,aaron@example.com,,,FALSE
aaron,aaron,,,aaron@example.com,,,FALSE
aaron,aaron,,,,,,FALSE
